**Ты решаешь задачу разрешения кореференции (coreference resolution) в текстах на русском языке с помощью пошагового рассуждения (Chain-of-Thought).**

Следуй указанным шагам:

---

### 🔹 Шаг 1 (Извлечение упоминаний):

- Прочитай текст. На вход подаётся текст с BIO-разметкой сущностей.
- Выпиши все упоминания сущностей, принадлежащие следующим классам: Activity, Application, Dataset, Environment, InfoResource, Lang, Method, Method_ML, Metric, Model, Object, Organization, Person, Science, Subject, Task, а также местоимения и фразы, которые могут на них ссылаться.
- Учитывай не только имена собственные, но и абстрактные понятия (например, "база знаний", "информация", "уязвимости"), если на них ссылаются в тексте.

---

### 🔹 Шаг 2 (Определение кореферентных упоминаний и группировка):

- Определи, какие из упоминаний относятся к одной и той же сущности.
- Учитывай грамматические признаки (род, число, падеж), контекст и смысл текста.
- Если возникают сомнения, выбери наиболее вероятную связь. В сложных случаях можешь кратко пояснить причину (1–2 слова).
- Сгруппируй упоминания по кластерам — каждому кластеру соответствует одна сущность.

---

### 🔹 Шаг 3 (Итоговый результат):

- Верни только результат в виде массива массивов.
- Каждый внутренний массив — отдельный кластер кореферентных упоминаний.
- Не добавляй комментариев, пояснений или шагов рассуждения к итоговому выводу.

---
### 📌 Пример:

**Текст с BIO-разметкой:**

Мария B-PERSON
, O  
которые O  
мы O  
получим O  
, O  
используя O  
абстрактный O  
синтаксический B-Method  
парсер I-Method  
, O  
тоже O  
вырастут O  
. O  
И O  
мы O  
примерно O  
понимаем O  
потолок O  
( O  
по O  
крайней O  
мере O  
, O  
потолок O  
по O  
той O  
архитектуре O  
и O  
по O  
тому O  
сочетанию O  
параметров O  
, O  
которое O  
мы O  
использовали O  
для O  
UDPipe B-Application  
, O  
— O  
он O  
приведен O  
в O  
третьей O  
строчке O  
таблицы O  
выше O  
) O  
. O  

Интересно O  
, O  
что O  
мы O  
почти O  
дотянулись O  
по O  
метрике B-Metric  
LAS I-Metric  
до O  
версии O  
Syntaxnet B-Application  
. O  
Понятно O  
, O  
что O  
у O  
нас O  
немного O  
разные O  
данные O  
, O  
но O  
в O  
принципе O  
всё O  
равно O  
сопоставимо O  
. O  
У O  
Syntaxnet B-Application  
токенизация B-Method  
« O  
золотая O  
» O  
, O  
а O  
у O  
нас O  
— O  
от O  
Mystem B-Application  
. O  
Мы O  
написали O  
вышеупомянутую O  
обёртку O  
к O  
Mystem B-Application  
, O  
но O  
разбор O  
всё O  
равно O  
проходит O  
автоматически O  
; O  
вероятно O  
, O  
Mystem B-Application  
тоже O  
где-то O  
ошибается O  
. O  
Из O  
строчки O  
таблицы O  
« O  
UDPipe B-Application  
2.0 I-Application  
gold B-Model  
tok I-Model  
» O  
видно O  
, O  
что O  
если O  
взять O  
дефолтный O  
UDPipe B-Application  
и O  
золотую O  
токенизацию B-Method  
, O  
то O  
он O  
всё же O  
немного O  
проигрывает O  
Syntaxnet B-Application  
-2017 I-Application  
. O  
Но O  
зато O  
работает O  
намного O  
быстрее O  
. O  

До O  
чего O  
не O  
дотянулся O  
никто O  
, O  
так O  
это O  
до O  
стенфордского B-Application  
парсера I-Application  
. O  
Он O  
устроен O  
так O  
же O  
, O  
как O  
Syntaxnet B-Application  
, O  
поэтому O  
работает O  
долго O  
. O  
В O  
UDPipe B-Application  
мы O  
идём O  
просто O  
по O  
стеку O  
. O  
В O  
архитектуре O  
стенфордского B-Application  
парсера I-Application  
и O  
Syntaxnet B-Application  
заложена O  
другая O  
концепция O  
: O  
сначала O  
они O  
генерируют O  
полный O  
ориентированный O  
граф O  
, O  
и O  
дальше O  
работа O  
алгоритма O  
состоит O  
в O  
том O  
, O  
чтобы O  
оставить O  
тот O  
скелет O  
( O  
минимальное O  
остовное O  
дерево O  
) O  
, O  
который O  
будет O  
наиболее O  
вероятным O  
. O  
Для O  
этого O  
он O  
перебирает O  
комбинации O  
, O  
а O  
этот O  
перебор O  
уже O  
не O  
линеен O  
, O  
потому O  
что O  
к O  
одному O  
слову O  
вы O  
будете O  
обращаться O  
не O  
единожды O  
. O  
Несмотря O  
на O  
то O  
, O  
что O  
это O  
долго O  
, O  
с O  
точки O  
зрения O  
чистой O  
науки B-Science  
, O  
по O  
крайней O  
мере O  
для O  
русского B-Lang  
языка I-Lang  
, O  
— O  
это O  
более O  
эффективная O  
архитектура O  
. O  
Мы O  
пытались O  
поднять O  
эту O  
академическую O  
разработку O  
два O  
дня O  
— O  
увы O  
, O  
не O  
получилось O  
. O  
Но O  
исходя O  
из O  
его O  
архитектуры O  
понятно O  
, O  
что O  
работает O  
он O  
не O  
быстро O  
. O  

Что O  
касается O  
нашего O  
подхода O  
— O  
хотя O  
мы O  
формально O  
по O  
метрикам B-Metric  
почти O  
не O  
поднялись O  
, O  
зато O  
у O  
нас O  
теперь O  
с O  
« O  
мамой O  
» O  
всё O  
в порядке O  
. O  

Во O  
фразе O  
« O  
переведи O  
маме O  
сто O  
рублей O  
» O  
у O  
нас O  
« O  
переведи O  
» O  
— O  
действительно O  
глагол O  
в O  
повелительном O  
наклонении O  
. O  
« O  
мама O  
» O  
получила O  
свой O  
дательный O  
падеж O  
. O  
И O  
самое O  
главное O  
для O  
нас O  
— O  
наша O  
метка O  
( O  
iobj O  
) O  
косвенный O  
объект O  
( O  
адресат O  
) O  
. O  
Хотя O  
прирост O  
по O  
цифрам O  
незначительный O  
, O  
мы O  
хорошо O  
справились O  
с O  
той O  
проблемой O  
, O  
с O  
которой O  
задача O  
начиналась O  
. O  

Bonus O  
track O  
: O  
пунктуация O  

Если O  
вернуться O  
к O  
реальным O  
данным O  
, O  
то O  
выясняется O  
, O  
что O  
синтаксис B-Method  
зависит O  
от O  
пунктуации O  
. O  
Возьмём O  
фразу O  
« O  
казнить O  
нельзя O  
помиловать O  
» O  
. O  
Что O  
именно O  
нельзя O  
— O  
« O  
казнить O  
» O  
или O  
« O  
помиловать O  
» O  
— O  
зависит O  
от O  
того O  
, O  
где O  
стоит O  
запятая O  
. O  
Даже O  
если O  
мы O  
посадим O  
лингвиста O  
размечать O  
данные O  
, O  
ему O  
нужна O  
будет O  
пунктуация O  
как O  
некоторый O  
вспомогательный O  
инструмент O  
. O  
Без O  
неё O  
он O  
не O  
справится O  
. O  

Возьмём O  
фразы O  
« O  
Петя O  
привет O  
» O  
и O  
« O  
Петя O  
, O  
привет O  
» O  
и O  
посмотрим O  
на O  
их O  
разбор O  
baseline-UDPipe B-Model  
моделью O  
. O  
Оставим O  
за O  
скобками O  
проблемы O  
того O  
, O  
что O  
, O  
если O  
верить O  
этой O  
модели B-Model  
, O  
то O  
: O  

1 O  
) O  
« O  
Петя O  
» O  
— O  
это O  
существительное O  
женского O  
рода O  
; O  

2 O  
) O  
« O  
Петя O  
» O  
— O  
это O  
( O  
судя O  
по O  
набору O  
тегов O  
) O  
начальная O  
форма O  
, O  
но O  
при O  
этом O  
лемма O  
у O  
него O  
якобы O  
не O  
« O  
Петя O  
» O  
. O  

Вот O  
как O  
меняется O  
результат O  
из-за O  
запятой O  
, O  
с O  
её O  
помощью O  
мы O  
получаем O  
нечто O  
похожее O  
на O  
правду O  
. O  

Во O  
втором O  
случае O  
« O  
Петя O  
» O  
— O  
это O  
субъект O  
, O  
а O  
« O  
привет O  
» O  
— O  
это O  
глагол O  
. O  
Вернёмся O  
к O  
предсказанию O  
формы O  
слова O  
на O  
основании O  
последних O  
четырёх O  
символов O  
. O  
В O  
трактовке O  
алгоритма O  
это O  
не O  
« O  
Петя O  
привет O  
» O  
, O  
а O  
« O  
Петя O  
привёт O  
» O  
. O  
Типа O  
« O  
Петя O  
поёт O  
» O  
или O  
« O  
Петя O  
придёт O  
» O  
. O  
Разбор O  
довольно O  
понятный O  
: O  
в O  
русском B-Lang  
языке I-Lang  
запятой O  
между O  
подлежащим O  
и O  
сказуемым O  
быть O  
не O  
может O  
. O  
Поэтому O  
если O  
запятая O  
стоит O  
, O  
это O  
слово O  
« O  
привет O  
» O  
, O  
а O  
если O  
запятой O  
нет O  
, O  
это O  
вполне O  
может O  
быть O  
что-то O  
вроде O  
« O  
Петя O  
привёт O  
» O  
. O  

Сталкиваться O  
с O  
этим O  
на O  
продакшене O  
мы O  
будем O  
достаточно O  
часто O  
, O  
потому O  
что O  
орфографию O  
спеллчекеры O  
исправят O  
, O  
а O  
пунктуацию O  
— O  
нет O  
. O  
Что O  
ещё O  
хуже O  
, O  
пользователь O  
может O  
неправильно O  
ставить O  
запятые O  
, O  
и O  
наш O  
алгоритм O  
будет O  
учитывать O  
их O  
в O  
понимании O  
естественного B-Task  
языка I-Task  
. O  
Какие O  
здесь O  
есть O  
возможные O  
решения O  
? O  
Мы O  
видим O  
два O  
варианта O  
. O  

Первый O  
вариант O  
— O  
сделать O  
так O  
, O  
как O  
иногда O  
делают O  
при O  
переводе O  
речи O  
в O  
текст O  
. O  
Изначально O  
в O  
таком O  
тексте O  
нет O  
никакой O  
пунктуации O  
, O  
поэтому O  
она O  
восстанавливается O  
через O  
модель B-Model  
. O  
На O  
выходе O  
получается O  
относительно O  
грамотный O  
с O  
точки O  
зрения O  
правил O  
русского B-Lang  
языка I-Lang  
материал O  
, O  
который O  
помогает O  
корректно O  
работать O  
синтаксическому B-Method  
парсеру I-Method  
. O  

Вторая O  
идея O  
несколько O  
более O  
смелая O  
и O  
противоречащая O  
школьным O  
урокам O  
русского B-Lang  
языка I-Lang  
. O  
Она O  
предполагает O  
работу O  
без O  
пунктуации O  
: O  
если O  
вдруг O  
входные O  
данные O  
будут O  
с O  
пунктуацией O  
, O  
мы O  
её O  
оттуда O  
уберём O  
. O  
Из O  
обучающего O  
корпуса O  
тоже O  
удалим O  
абсолютно O  
всю O  
пунктуацию O  
. O  
Будем O  
считать O  
, O  
что O  
русский B-Lang  
язык I-Lang  
существует O  
без O  
пунктуации O  
. O  
Только O  
точки O  
для O  
разделения O  
на O  
предложения O  
. O  

Технически O  
это O  
довольно O  
просто O  
, O  
потому O  
что O  
мы O  
никак O  
не O  
меняем O  
в O  
синтаксическом B-Method  
дереве O  
неконечные O  
узлы O  
. O  
У O  
нас O  
не O  
может O  
быть O  
такого O  
, O  
что O  
знак O  
пунктуации O  
— O  
это O  
вершина O  
. O  
Это O  
всегда O  
некоторый O  
конечный O  
узел O  
, O  
кроме O  
знака O  
% O  
, O  
который O  
почему-то O  
в O  
SynTagRus B-Dataset  
является O  
вершиной O  
для O  
предшествующего O  
числительного O  
( O  
50 O  
% O  
в O  
SynTagRus B-Dataset  
размечено O  
как O  
% O  
— O  
вершина O  
, O  
а O  
50 O  
— O  
зависимое O  
) O  
. O  

Проведём O  
тесты O  
с O  
использованием O  
Mystem B-Application  
( O  
+pymorphy 2 B-Application  
) O  
модели B-Model  
. O  

Нам O  
критически O  
важно O  
не O  
дать O  
модели B-Model  
без O  
пунктуации O  
текст O  
с O  
пунктуацией O  
. O  
Но O  
зато O  
если O  
мы O  
всегда O  
будем O  
давать O  
текст O  
без O  
пунктуации O  
, O  
то O  
мы O  
будем O  
оказываться O  
в O  
рамках O  
верхней O  
строчки O  
и O  
получать O  
как O  
минимум O  
приемлемые O  
результаты O  
. O  
Если O  
текст O  
без O  
пунктуации O  
и O  
модель B-Model  
будет O  
работать O  
непунктуационная O  
, O  
то O  
относительно O  
идеальной O  
пунктуации O  
и O  
пунктуационной O  
модели B-Model  
получится O  
падение O  
всего O  
примерно O  
в O  
3 O  
% O  
. O  

Что O  
с O  
этим O  
делать O  
? O  
Мы O  
можем O  
остановиться O  
на O  
этих O  
цифрах O  
— O  
полученных O  
с O  
помощью O  
беспунктуационной O  
модели B-Model  
и O  
чистки O  
пунктуации O  
. O  
Или O  
придумать O  
какой-то O  
классификатор O  
, O  
чтобы O  
восстанавливать O  
пунктуацию O  
. O  
Идеальных O  
цифр O  
( O  
тех O  
, O  
что O  
с O  
пунктуацией O  
на O  
пунктуационной O  
модели B-Model  
) O  
мы O  
уже O  
не O  
добьёмся O  
, O  
потому O  
что O  
алгоритм O  
восстановления O  
пунктуации O  
работает O  
с O  
некоторой O  
погрешностью O  
, O  
а O  
« O  
идеальные O  
» O  
цифры O  
были O  
рассчитаны O  
на O  
абсолютно O  
чистом O  
SynTagRus B-Dataset  
. O  
Но O  
если O  
мы O  
будем O  
писать O  
модель B-Model  
, O  
восстанавливающую O  
пунктуацию O  
, O  
окупит O  
ли O  
прогресс O  
наши O  
затраты O  
? O  
Ответ O  
пока O  
неочевиден O  
. O  

Мы O  
можем O  
долго O  
размышлять O  
про O  
архитектуру O  
парсера B-Method  
, O  
но O  
должны O  
помнить O  
, O  
что O  
на O  
самом O  
деле O  
пока O  
нет O  
большого O  
синтаксически O  
размеченного O  
корпуса O  
веб-текстов O  
. O  
Его O  
существование O  
помогло O  
бы O  
лучше O  
решать O  
реальные O  
задачи O  
. O  
Пока O  
что O  
мы O  
учимся O  
на O  
корпусах O  
абсолютно O  
грамотных O  
, O  
отредактированных O  
текстов O  
— O  
и O  
теряем O  
в O  
качестве O  
, O  
получая O  
на O  
бою O  
пользовательские O  
тексты O  
, O  
которые O  
зачастую O  
написаны O  
неграмотно O  
. O  

Заключение O  

Мы O  
рассмотрели O  
использование O  
различных O  
алгоритмов O  
синтаксического B-Method  
парсинга I-Method  
, O  
основанного O  
на O  
грамматике B-Method  
зависимостей I-Method  
, O  
применительно O  
к O  
русскому B-Lang  
языку I-Lang  
. O  
Оказалось O  
, O  
что O  
с O  
точки O  
зрения O  
скорости O  
, O  
удобства O  
и O  
качества O  
работы O  
наилучшим O  
инструментом O  
оказался O  
UDPipe B-Application  
. O  
Его O  
baseline-модель B-Model  
можно O  
улучшить O  
, O  
если O  
отдать O  
этапы O  
токенизации B-Method  
и O  
морфологического B-Method  
анализа I-Method  
на O  
откуп O  
другим O  
, O  
сторонним O  
, O  
анализаторам O  
: O  
такой O  
трюк O  
даёт O  
возможность O  
исправлять O  
некорректное O  
поведение O  
теггера O  
и O  
, O  
как O  
следствие O  
, O  
парсера B-Method  
в O  
важных O  
для O  
анализа O  
случаях O  
. O  

Также O  
мы O  
проанализировали O  
проблему O  
взаимосвязи O  
пунктуации O  
и O  
парсинга B-Method  
и O  
пришли O  
к O  
выводу O  
, O  
что O  
в O  
нашем O  
случае O  
пунктуацию O  
перед O  
синтаксическим B-Method  
парсингом I-Method  
лучше O  
удалять O  
. O  

Надеемся O  
, O  
что O  
прикладные O  
моменты O  
, O  
разобранные O  
в O  
нашей O  
статье O  
, O  
помогут O  
использовать O  
синтаксический B-Method  
парсинг I-Method  
для O  
решения O  
ваших O  
задач O  
максимально O  
эффективно O  
. O  

Автор O  
благодарит O  
за O  
помощь O  
в O  
подготовке O  
статьи O  
Никиту B-Person  
Кузнецова I-Person  
и O  
Наталью B-Person  
Филиппову I-Person  
; O  
за O  
помощь O  
в O  
исследовании O  
— O  
Антона B-Person  
Алексеева I-Person  
, O  
Никиту B-Person  
Кузнецова I-Person  
, O  
Андрея B-Person  
Кутузова I-Person  
, O  
Бориса B-Person  
Орехова I-Person  
и O  
Михаила B-Person  
Попова I-Person  
. O  

Tags O  
: O  
парсерыкомпьютерная O  
лингвистикасинтаксисUDPipedependency O  
parsingnlp O  
Hubs O  
: O  
Сбер B-Organization  
corporate I-Organization  
blog I-Organization  
Programming B-Subject  
Machine B-Method_ML  
learning I-Method_ML  
Artificial B-Method_ML  
Intelligence I-Method_ML"
